iter	Passed	Remaining
400	19900	79353
401	19959	79340
402	20009	79293
403	20061	79252
404	20106	79185
405	20153	79126
406	20206	79089
407	20261	79059
408	20313	79018
409	20359	78956
410	20414	78927
411	20467	78890
412	20519	78850
413	20569	78800
414	20629	78787
415	20683	78754
416	20733	78707
417	20790	78684
418	20840	78636
419	20896	78610
420	20954	78590
421	21005	78545
422	21056	78499
423	21112	78473
424	21161	78422
425	21227	78432
426	21283	78405
427	21335	78364
428	21386	78318
429	21443	78294
430	21488	78225
431	21538	78176
432	21586	78118
433	21630	78049
434	21690	78036
435	21747	78011
436	21801	77976
437	21867	77983
438	21916	77932
439	21966	77879
440	22012	77818
441	22064	77775
442	22119	77743
443	22167	77687
444	22217	77637
445	22266	77583
446	22315	77531
447	22365	77478
448	22412	77421
449	22462	77371
450	22511	77316
451	22563	77273
452	22610	77216
453	22659	77162
454	22710	77115
455	22759	77061
456	22811	77019
457	22868	76994
458	22920	76952
459	22969	76897
460	23020	76851
461	23075	76818
462	23125	76767
463	23175	76718
464	23234	76697
465	23286	76655
466	23346	76638
467	23400	76603
468	23453	76561
469	23502	76507
470	23551	76455
471	23608	76428
472	23666	76403
473	23719	76362
474	23775	76330
475	23827	76286
476	23880	76247
477	23938	76223
478	23995	76193
479	24045	76144
480	24088	76071
481	24141	76030
482	24189	75974
483	24242	75933
484	24323	75978
485	24375	75934
486	24425	75885
487	24488	75875
488	24534	75810
489	24590	75778
490	24639	75725
491	24688	75670
492	24736	75613
493	24788	75568
494	24844	75538
495	24902	75510
496	24956	75472
497	25006	75422
498	25055	75366
499	25103	75310
500	25151	75254
501	25202	75205
502	25253	75157
503	25301	75101
504	25357	75066
505	25409	75023
506	25456	74963
507	25505	74910
508	25551	74847
509	25605	74808
510	25658	74765
511	25708	74713
512	25764	74682
513	25816	74636
514	25871	74598
515	25932	74582
516	25986	74541
517	26038	74495
518	26084	74435
519	26139	74395
520	26188	74344
521	26238	74293
522	26290	74245
523	26339	74192
524	26387	74135
525	26436	74083
526	26492	74047
527	26542	73996
528	26590	73941
529	26639	73887
530	26683	73819
531	26742	73792
532	26813	73800
533	26871	73771
534	26920	73715
535	26974	73675
536	27024	73624
537	27080	73591
538	27133	73547
539	27188	73509
540	27237	73454
541	27285	73400
542	27338	73354
543	27389	73307
544	27446	73274
545	27495	73220
546	27542	73162
547	27594	73116
548	27646	73068
549	27692	73008
550	27752	72982
551	27802	72931
552	27858	72895
553	27914	72860
